                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.49047,                0.72893,                0.84503,                0.94678,                      1,                  0.995,                0.83803,                0.76284,                0.71134,                0.84829,             0.00031373,             0.00031373,             0.00031373
                     84,                0.49307,                0.72223,                0.83489,                0.94409,                      1,                  0.995,                0.83406,                0.76834,                0.72945,                0.84992,             0.00029723,             0.00029723,             0.00029723
                     85,                0.49208,                0.67404,                 0.8278,                0.94409,                      1,                  0.995,                0.83406,                0.76834,                0.72945,                0.84992,             0.00028072,             0.00028072,             0.00028072
                     86,                  0.491,                0.63968,                0.83206,                0.94903,                      1,                  0.995,                0.83406,                0.77099,                0.74603,                0.84991,             0.00026422,             0.00026422,             0.00026422
                     87,                0.46596,                0.66749,                0.82949,                 0.9581,                      1,                  0.995,                 0.8246,                 0.7741,                0.74701,                0.84933,             0.00024772,             0.00024772,             0.00024772
                     88,                0.50972,                0.65415,                0.83406,                0.96319,                      1,                  0.995,                0.82703,                 0.7798,                0.75029,                0.85505,             0.00023121,             0.00023121,             0.00023121
                     89,                0.47449,                0.64182,                0.82159,                0.96319,                      1,                  0.995,                0.82703,                 0.7798,                0.75029,                0.85505,             0.00021471,             0.00021471,             0.00021471
                     90,                0.43691,                0.65025,                0.82765,                 0.9663,                      1,                  0.995,                0.82703,                0.78611,                0.74329,                0.86143,             0.00019821,             0.00019821,             0.00019821
                     91,                0.47434,                0.84777,                0.80002,                0.96567,                      1,                  0.995,                0.82643,                0.78783,                0.73832,                0.86172,              0.0001817,              0.0001817,              0.0001817
                     92,                0.41035,                0.79965,                0.79311,                0.96362,                      1,                  0.995,                0.82643,                0.78814,                0.74697,                0.85203,              0.0001652,              0.0001652,              0.0001652
                     93,                0.39427,                0.81079,                0.78017,                0.96362,                      1,                  0.995,                0.82643,                0.78814,                0.74697,                0.85203,              0.0001487,              0.0001487,              0.0001487
                     94,                0.43449,                0.77973,                0.80296,                0.96179,                      1,                  0.995,                0.83196,                0.79239,                0.74964,                0.85423,             0.00013219,             0.00013219,             0.00013219
                     95,                0.40346,                 0.8314,                0.84362,                0.95755,                      1,                  0.995,                0.83196,                0.79355,                0.75927,                0.85586,             0.00011569,             0.00011569,             0.00011569
                     96,                0.40692,                0.79405,                0.82028,                0.95517,                      1,                  0.995,                0.83447,                0.78578,                0.76125,                0.85516,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.45232,                0.81913,                0.80077,                0.95517,                      1,                  0.995,                0.83447,                0.78578,                0.76125,                0.85516,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.43255,                0.81293,                0.79336,                 0.9537,                      1,                  0.995,                0.83446,                0.77683,                0.75575,                0.85276,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.41518,                0.84939,                0.79956,                0.95248,                      1,                  0.995,                0.81798,                0.76666,                  0.746,                0.84939,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.38865,                0.80549,                0.78076,                0.95247,                      1,                  0.995,                0.81798,                0.76077,                0.73354,                 0.8473,             3.3173e-05,             3.3173e-05,             3.3173e-05
