                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.70169,                 0.7629,                0.95933,                0.98079,                      1,                  0.995,                0.69214,                  0.993,                 1.0924,                 1.0202,              0.0018495,              0.0018495,              0.0018495
                     78,                0.72795,                0.72641,                0.87215,                      1,                0.94563,                  0.995,                0.70564,                0.93602,                 1.1081,                0.96818,              0.0018475,              0.0018475,              0.0018475
                     79,                0.67982,                0.73795,                0.90859,                      1,                0.94563,                  0.995,                0.70564,                0.93602,                 1.1081,                0.96818,              0.0018456,              0.0018456,              0.0018456
                     80,                0.62281,                0.71626,                0.83522,                0.99042,                      1,                  0.995,                0.67601,                 1.0702,                 1.0184,                 1.0385,              0.0018436,              0.0018436,              0.0018436
                     81,                 0.6594,                0.68354,                0.88344,                0.99042,                      1,                  0.995,                0.67601,                 1.0702,                 1.0184,                 1.0385,              0.0018416,              0.0018416,              0.0018416
                     82,                0.63256,                0.76587,                 0.9168,                0.98616,                      1,                  0.995,                0.69358,                 1.0682,                 0.8904,                 1.0997,              0.0018396,              0.0018396,              0.0018396
                     83,                0.61747,                0.67903,                0.86885,                0.98616,                      1,                  0.995,                0.69358,                 1.0682,                 0.8904,                 1.0997,              0.0018376,              0.0018376,              0.0018376
                     84,                0.54916,                0.63474,                0.82418,                0.99048,                      1,                  0.995,                0.77607,                 1.0401,                0.77962,                 1.0628,              0.0018357,              0.0018357,              0.0018357
                     85,                 0.6216,                 0.6829,                0.90364,                0.99048,                      1,                  0.995,                0.77607,                 1.0401,                0.77962,                 1.0628,              0.0018337,              0.0018337,              0.0018337
                     86,                0.58758,                0.63098,                0.88651,                0.98542,                      1,                  0.995,                0.73917,                 1.0114,                0.70727,                 1.0487,              0.0018317,              0.0018317,              0.0018317
                     87,                0.67254,                0.70887,                0.92034,                0.98542,                      1,                  0.995,                0.73917,                 1.0114,                0.70727,                 1.0487,              0.0018297,              0.0018297,              0.0018297
                     88,                0.61551,                0.63016,                0.88916,                0.98995,                      1,                  0.995,                  0.668,                 1.1356,                0.84255,                 1.1145,              0.0018277,              0.0018277,              0.0018277
                     89,                0.66634,                0.64962,                0.88046,                0.98995,                      1,                  0.995,                  0.668,                 1.1356,                0.84255,                 1.1145,              0.0018258,              0.0018258,              0.0018258
                     90,                0.72647,                 0.6658,                0.94572,                 0.9997,                      1,                  0.995,                0.74364,                0.99532,                0.78171,                 1.0298,              0.0018238,              0.0018238,              0.0018238
                     91,                  0.571,                0.62675,                0.81567,                 0.9997,                      1,                  0.995,                0.74364,                0.99532,                0.78171,                 1.0298,              0.0018218,              0.0018218,              0.0018218
                     92,                0.62264,                0.62988,                0.88587,                0.99638,                      1,                  0.995,                0.71789,                 1.0103,                0.74137,                 1.0241,              0.0018198,              0.0018198,              0.0018198
                     93,                0.59026,                 0.6157,                0.87027,                0.99638,                      1,                  0.995,                0.71789,                 1.0103,                0.74137,                 1.0241,              0.0018178,              0.0018178,              0.0018178
                     94,                 0.6683,                 0.5957,                0.90102,                0.82692,                      1,                0.96167,                0.64136,                 1.1831,                0.75614,                 1.1475,              0.0018159,              0.0018159,              0.0018159
                     95,                0.61766,                0.58405,                0.86955,                0.82692,                      1,                0.96167,                0.64136,                 1.1831,                0.75614,                 1.1475,              0.0018139,              0.0018139,              0.0018139
                     96,                0.70452,                0.63863,                0.90235,                      1,                0.94428,                  0.995,                 0.7023,                 1.0187,                0.70408,                  1.005,              0.0018119,              0.0018119,              0.0018119
                     97,                0.56341,                0.55366,                0.87553,                      1,                0.94428,                  0.995,                 0.7023,                 1.0187,                0.70408,                  1.005,              0.0018099,              0.0018099,              0.0018099
                     98,                0.65154,                0.58101,                0.88082,                      1,                0.99162,                  0.995,                0.67766,                 1.0368,                0.81141,                 1.0379,              0.0018079,              0.0018079,              0.0018079
                     99,                0.57362,                0.62272,                0.84722,                      1,                0.99162,                  0.995,                0.67766,                 1.0368,                0.81141,                 1.0379,               0.001806,               0.001806,               0.001806
                    100,                0.57667,                0.59261,                0.85543,                0.82606,                      1,                0.96167,                0.64316,                 1.1033,                0.85486,                 1.1243,               0.001804,               0.001804,               0.001804
                    101,                0.58046,                 0.6367,                0.87107,                0.82606,                      1,                0.96167,                0.64316,                 1.1033,                0.85486,                 1.1243,               0.001802,               0.001802,               0.001802
                    102,                0.59397,                 0.5979,                0.85452,                0.82581,                      1,                0.96167,                0.58185,                 1.4055,                0.83771,                 1.2007,                 0.0018,                 0.0018,                 0.0018
                    103,                0.51955,                0.55468,                0.82364,                0.82581,                      1,                0.96167,                0.58185,                 1.4055,                0.83771,                 1.2007,               0.001798,               0.001798,               0.001798
                    104,                0.64147,                0.61054,                0.91862,                0.82931,                      1,                  0.995,                0.59949,                  1.329,                 0.7721,                 1.1232,              0.0017961,              0.0017961,              0.0017961
                    105,                0.54812,                0.54661,                0.83105,                0.82931,                      1,                  0.995,                0.59949,                  1.329,                 0.7721,                 1.1232,              0.0017941,              0.0017941,              0.0017941
                    106,                0.57825,                0.54206,                0.85738,                0.99056,                      1,                  0.995,                0.67338,                 1.2157,                0.71883,                 1.1671,              0.0017921,              0.0017921,              0.0017921
                    107,                0.69644,                0.72112,                0.95919,                0.99056,                      1,                  0.995,                0.67338,                 1.2157,                0.71883,                 1.1671,              0.0017901,              0.0017901,              0.0017901
                    108,                0.60848,                0.51919,                 0.8127,                0.99089,                      1,                  0.995,                0.68958,                 1.2799,                0.69697,                 1.2456,              0.0017881,              0.0017881,              0.0017881
                    109,                0.61574,                0.54989,                0.86715,                0.99089,                      1,                  0.995,                0.68958,                 1.2799,                0.69697,                 1.2456,              0.0017862,              0.0017862,              0.0017862
                    110,                0.61798,                0.56622,                0.84556,                0.99093,                      1,                  0.995,                0.64819,                 1.3437,                0.75658,                 1.2451,              0.0017842,              0.0017842,              0.0017842
                    111,                 0.7045,                0.59042,                0.91176,                0.99093,                      1,                  0.995,                0.64819,                 1.3437,                0.75658,                 1.2451,              0.0017822,              0.0017822,              0.0017822
                    112,                0.61551,                0.54712,                0.89562,                0.98898,                      1,                  0.995,                0.69212,                 1.2603,                0.77275,                 1.1511,              0.0017802,              0.0017802,              0.0017802
                    113,                0.60757,                 0.5555,                0.86005,                0.98898,                      1,                  0.995,                0.69212,                 1.2603,                0.77275,                 1.1511,              0.0017782,              0.0017782,              0.0017782
                    114,                0.55588,                0.56192,                0.83694,                  0.989,                      1,                  0.995,                0.71113,                 1.1626,                0.68035,                 1.1082,              0.0017763,              0.0017763,              0.0017763
                    115,                  0.625,                 0.5762,                0.85813,                  0.989,                      1,                  0.995,                0.71113,                 1.1626,                0.68035,                 1.1082,              0.0017743,              0.0017743,              0.0017743
                    116,                0.57661,                0.52087,                0.85203,                0.98931,                      1,                  0.995,                  0.752,                 1.0341,                0.65438,                 1.0497,              0.0017723,              0.0017723,              0.0017723
                    117,                0.59973,                0.56761,                0.88949,                0.98931,                      1,                  0.995,                  0.752,                 1.0341,                0.65438,                 1.0497,              0.0017703,              0.0017703,              0.0017703
                    118,                0.56192,                0.54851,                0.83873,                0.98994,                      1,                  0.995,                0.74402,                0.96373,                0.63198,                 1.0281,              0.0017683,              0.0017683,              0.0017683
                    119,                0.62716,                0.56261,                0.89356,                0.98994,                      1,                  0.995,                0.74402,                0.96373,                0.63198,                 1.0281,              0.0017664,              0.0017664,              0.0017664
                    120,                0.60078,                0.55047,                0.86559,                0.99008,                      1,                  0.995,                0.76764,                0.96309,                0.63786,                 1.0144,              0.0017644,              0.0017644,              0.0017644
                    121,                 0.6105,                0.55751,                0.86387,                0.99008,                      1,                  0.995,                0.76764,                0.96309,                0.63786,                 1.0144,              0.0017624,              0.0017624,              0.0017624
                    122,                0.52869,                0.52597,                0.82816,                 0.9902,                      1,                  0.995,                0.76562,                 0.9837,                0.63605,                 1.0314,              0.0017604,              0.0017604,              0.0017604
                    123,                0.60556,                0.48901,                0.84477,                 0.9902,                      1,                  0.995,                0.76562,                 0.9837,                0.63605,                 1.0314,              0.0017584,              0.0017584,              0.0017584
                    124,                0.68032,                0.53781,                0.87366,                0.98996,                      1,                  0.995,                0.79587,                0.90677,                0.65363,                 1.0132,              0.0017565,              0.0017565,              0.0017565
                    125,                0.55574,                0.51931,                0.82667,                0.98996,                      1,                  0.995,                0.79587,                0.90677,                0.65363,                 1.0132,              0.0017545,              0.0017545,              0.0017545
                    126,                0.52221,                0.52414,                0.85056,                0.98955,                      1,                  0.995,                0.76507,                0.92153,                0.65748,                 1.0349,              0.0017525,              0.0017525,              0.0017525
                    127,                 0.4952,                0.58176,                0.83864,                0.98955,                      1,                  0.995,                0.76507,                0.92153,                0.65748,                 1.0349,              0.0017505,              0.0017505,              0.0017505
                    128,                0.54564,                0.54543,                0.86415,                0.98856,                      1,                  0.995,                0.78595,                0.92316,                0.58989,                 1.0362,              0.0017485,              0.0017485,              0.0017485
                    129,                0.64898,                0.52971,                0.85813,                0.98856,                      1,                  0.995,                0.78595,                0.92316,                0.58989,                 1.0362,              0.0017466,              0.0017466,              0.0017466
                    130,                0.49979,                0.47517,                0.84214,                0.99076,                      1,                  0.995,                 0.7677,                0.95193,                0.53028,                 1.0306,              0.0017446,              0.0017446,              0.0017446
                    131,                0.62644,                0.53446,                0.86502,                0.99076,                      1,                  0.995,                 0.7677,                0.95193,                0.53028,                 1.0306,              0.0017426,              0.0017426,              0.0017426
                    132,                0.59014,                0.49597,                0.84675,                0.99084,                      1,                  0.995,                0.78185,                0.94878,                0.48901,                0.99864,              0.0017406,              0.0017406,              0.0017406
                    133,                0.55146,                0.50526,                0.84937,                0.99084,                      1,                  0.995,                0.78185,                0.94878,                0.48901,                0.99864,              0.0017386,              0.0017386,              0.0017386
                    134,                0.56874,                0.52767,                0.82377,                0.98967,                      1,                  0.995,                0.81554,                0.86357,                0.51144,                0.95257,              0.0017367,              0.0017367,              0.0017367
                    135,                0.54208,                0.48874,                0.88367,                0.98967,                      1,                  0.995,                0.81554,                0.86357,                0.51144,                0.95257,              0.0017347,              0.0017347,              0.0017347
                    136,                0.59471,                0.52315,                0.87144,                0.98215,                      1,                  0.995,                0.81161,                0.83956,                0.62011,                0.96106,              0.0017327,              0.0017327,              0.0017327
                    137,                0.49221,                0.48552,                0.82513,                0.98215,                      1,                  0.995,                0.81161,                0.83956,                0.62011,                0.96106,              0.0017307,              0.0017307,              0.0017307
                    138,                0.56361,                0.52221,                 0.8651,                0.98754,                      1,                  0.995,                0.75965,                0.98535,                0.65281,                  1.074,              0.0017287,              0.0017287,              0.0017287
                    139,                0.58339,                0.50911,                0.85772,                0.98754,                      1,                  0.995,                0.75965,                0.98535,                0.65281,                  1.074,              0.0017268,              0.0017268,              0.0017268
                    140,                0.52078,                0.47329,                0.83178,                 0.9816,                      1,                  0.995,                0.77921,                 0.9804,                0.69337,                 1.0676,              0.0017248,              0.0017248,              0.0017248
                    141,                0.58154,                0.50825,                0.84699,                 0.9816,                      1,                  0.995,                0.77921,                 0.9804,                0.69337,                 1.0676,              0.0017228,              0.0017228,              0.0017228
                    142,                0.62073,                0.56214,                0.92008,                0.97566,                      1,                  0.995,                 0.7597,                0.93144,                0.69352,                 1.0233,              0.0017208,              0.0017208,              0.0017208
                    143,                0.54052,                0.48586,                0.85141,                0.97566,                      1,                  0.995,                 0.7597,                0.93144,                0.69352,                 1.0233,              0.0017188,              0.0017188,              0.0017188
                    144,                0.55327,                0.47078,                0.82493,                0.95683,                      1,                  0.995,                0.75171,                0.92793,                0.85753,                 1.0199,              0.0017169,              0.0017169,              0.0017169
                    145,                0.48549,                0.49235,                0.84242,                0.95683,                      1,                  0.995,                0.75171,                0.92793,                0.85753,                 1.0199,              0.0017149,              0.0017149,              0.0017149
                    146,                0.55089,                0.48062,                0.83398,                0.95624,                      1,                  0.995,                0.72782,                 1.1249,                 1.0968,                 1.1469,              0.0017129,              0.0017129,              0.0017129
                    147,                0.45048,                0.43088,                0.82374,                0.95624,                      1,                  0.995,                0.72782,                 1.1249,                 1.0968,                 1.1469,              0.0017109,              0.0017109,              0.0017109
                    148,                0.49975,                0.47105,                0.83701,                0.96672,                      1,                  0.995,                0.58334,                 1.2943,                0.82163,                 1.3011,              0.0017089,              0.0017089,              0.0017089
                    149,                0.54309,                0.48191,                0.85694,                0.96672,                      1,                  0.995,                0.58334,                 1.2943,                0.82163,                 1.3011,               0.001707,               0.001707,               0.001707
                    150,                0.47684,                0.46631,                0.82493,                 0.9802,                      1,                  0.995,                0.66986,                 1.2124,                0.71254,                 1.2247,               0.001705,               0.001705,               0.001705
                    151,                0.49653,                0.48058,                0.83146,                 0.9802,                      1,                  0.995,                0.66986,                 1.2124,                0.71254,                 1.2247,               0.001703,               0.001703,               0.001703
                    152,                0.49413,                 0.4482,                0.81773,                0.98549,                      1,                  0.995,                 0.6619,                 1.1849,                0.64324,                 1.1894,               0.001701,               0.001701,               0.001701
                    153,                0.47971,                0.40773,                0.80455,                0.98549,                      1,                  0.995,                 0.6619,                 1.1849,                0.64324,                 1.1894,               0.001699,               0.001699,               0.001699
                    154,                0.54226,                0.47489,                0.80778,                0.98943,                      1,                  0.995,                0.64532,                 1.1598,                0.59214,                 1.1708,              0.0016971,              0.0016971,              0.0016971
                    155,                0.54228,                0.46724,                0.83269,                0.98943,                      1,                  0.995,                0.64532,                 1.1598,                0.59214,                 1.1708,              0.0016951,              0.0016951,              0.0016951
                    156,                0.45143,                0.42295,                0.85497,                0.99061,                      1,                  0.995,                0.66965,                0.94051,                0.60836,                 1.0279,              0.0016931,              0.0016931,              0.0016931
                    157,                0.52918,                0.41585,                0.82299,                0.99061,                      1,                  0.995,                0.66965,                0.94051,                0.60836,                 1.0279,              0.0016911,              0.0016911,              0.0016911
                    158,                0.58838,                0.50686,                0.88553,                0.99053,                      1,                  0.995,                0.77179,                0.84463,                0.48134,                0.96611,              0.0016891,              0.0016891,              0.0016891
                    159,                0.48943,                0.44087,                0.81659,                0.99053,                      1,                  0.995,                0.77179,                0.84463,                0.48134,                0.96611,              0.0016872,              0.0016872,              0.0016872
